,A01,A02,A03,A11,A23,A24,A25,A26,A29,A30,A31,A32,A33,A34,A36,A43,A66,A68,A69,A74,A80,B07,B08,B13,B14,B15,B18,B27,B35,B37,B38,B39,B40,B41,B42,B44,B45,B46,B47,B48,B49,B50,B51,B52,B53,B54,B55,B56,B57,B58,B59,B67,B73,B78,B81,B82,B83,C01,C02,C03,C04,C05,C06,C07,C08,C12,C14,C15,C16,C17,C18,DPA101,DPA102,DPA104,DPB101,DPB102,DPB103,DPB104,DPB105,DPB106,DPB108,DPB109,DPB110,DPB1104,DPB1106,DPB1107,DPB111,DPB113,DPB114,DPB115,DPB116,DPB117,DPB118,DPB119,DPB120,DPB121,DPB122,DPB123,DPB125,DPB126,DPB127,DPB128,DPB129,DPB130,DPB131,DPB132,DPB133,DPB134,DPB135,DPB136,DPB139,DPB140,DPB141,DPB145,DPB146,DPB148,DPB149,DPB150,DPB151,DPB172,DPB180,DPB181,DPB191,DPB193,DQA101,DQA102,DQA103,DQA104,DQA105,DQA106,DQB102,DQB103,DQB104,DQB105,DQB106,DRB101,DRB103,DRB104,DRB107,DRB108,DRB109,DRB110,DRB111,DRB112,DRB113,DRB114,DRB115,DRB116
1212,0.17,0.31,0.095,0.065,,0.085,0.025,0.02,0.06,0.03,0.025,0.055,,,,,,0.058,,,,0.248,0.088,0.02,0.049,0.072,0.039,0.025,0.034,0.01,0.034,0.01,0.033,,,0.196,0.005,,0.005,,0.015,,0.02,,,,0.032,,0.049,,,,,,,,,0.177,0.019,0.139,0.063,0.005,0.067,0.378,0.063,0.048,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.364,0.134,0.2,0.019,0.185,0.005,,,,,,0.054,0.107,0.18,0.144,0.025,0.019,0.005,0.048,0.014,0.096,0.019,0.181,0.014
1234,0.079,0.263,0.105,0.026,0.053,0.116,0.005,0.042,0.026,0.058,0.026,0.016,0.042,0.021,0.016,,0.005,0.085,,0.011,0.005,0.063,0.074,0.005,0.058,0.075,0.063,0.042,0.111,0.005,0.032,0.016,0.042,0.011,0.037,0.1,0.026,,0.005,,0.021,0.032,0.089,0.011,0.016,,0.011,,0.021,0.026,,0.005,,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1235,0.142,0.441,0.166,,0.19,0.12,,0.072,0.096,0.143,0.048,0.072,0.191,0.048,,,0.047,0.143,0.024,0.036,,0.084,0.048,0.012,0.024,0.06,,0.012,0.167,,,0.012,0.072,0.024,0.048,0.06,0.036,,,,0.06,0.012,0.048,0.012,0.107,,,,0.012,0.072,,,,0.012,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1236,0.079,0.221,0.086,0.057,0.079,0.121,0.007,0.036,0.071,0.043,0.014,0.036,0.036,0.007,,,0.028,0.071,,0.007,,0.086,0.057,0.029,0.086,0.042,0.064,0.021,0.064,0.021,0.043,0.035,0.021,0.021,,0.114,0.021,0.007,0.021,,0.05,0.021,0.064,0.014,0.021,,0.007,,0.036,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1237,0.17,0.804,0.048,0.074,0.074,0.268,,0.048,0.048,0.024,0.048,0.048,0.073,,,,,0.268,0.024,,,0.049,0.024,0.024,0.061,0.169,0.061,0.024,0.17,0.024,0.012,0.073,0.061,0.012,,0.024,,,,0.037,0.012,,0.061,0.049,,,0.024,,0.012,,,,,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1239,0.072,0.249,0.064,0.114,0.017,0.063,,0.102,0.012,0.055,0.025,0.114,0.034,,0.004,,0.008,0.06,,0.004,,0.021,0.11,,0.025,0.059,0.047,0.004,0.139,0.004,0.004,0.037,0.089,0.008,0.013,0.017,0.013,,0.004,,0.004,0.03,0.178,0.038,0.021,,0.017,,0.017,0.076,,,0.008,,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1240,0.003,0.345,0.007,0.295,,0.173,,0.02,0.01,0.013,0.017,0.007,0.101,0.003,,,,,,0.003,,0.027,,0.101,,0.116,0.01,0.013,0.03,0.003,0.047,0.027,0.192,,,0.003,,0.134,,0.017,,,0.1,0.01,,0.017,0.03,0.016,,0.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241,0.08,0.23,0.12,,0.2,0.02,,0.02,0.25,0.39,0.01,0.05,0.01,0.11,,0.06,0.07,0.25,,0.065,,0.065,0.075,0.015,0.065,0.19,0.02,,0.04,,,0.015,,0.01,0.12,0.105,0.035,,,,0.01,,,,0.015,,,,0.05,0.125,,0.005,,,0.035,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1243,0.202,0.287,0.145,0.08,0.014,0.062,0.021,0.019,0.049,0.024,0.026,0.032,0.01,0.001,,,0.001,0.036,,,,0.174,0.162,0.017,0.058,0.046,0.03,0.031,0.064,0.016,0.009,0.019,0.057,0.004,,0.197,0.007,,0.002,0.001,0.01,0.01,0.028,0.003,0.002,,0.023,0.002,0.039,0.003,,,,,,,,0.024,0.021,0.116,0.083,0.127,0.088,0.386,0.058,0.028,0.006,0.012,0.052,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.16,0.191,0.16,0.022,0.007,0.007,0.042,0.013,0.082,0.015,0.186,0.002
1245,0.121,0.254,0.114,0.06,0.025,0.122,0.019,0.05,0.036,0.05,0.025,0.051,0.022,0.001,0.0001,0.0001,0.001,0.039,,0.0002,,0.057,0.059,0.034,0.036,0.052,0.097,0.019,0.159,0.014,0.035,0.027,0.027,0.014,0.0006,0.092,0.005,0.0001,0.004,0.0002,0.036,0.018,0.104,0.014,0.009,,0.026,,0.049,,,0.0001,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.101,0.08,0.127,0.032,0.008,0.017,0.238,,0.157,,0.131,
