30 5
2 2 2 2 2
Ancestral  1.000 0.000 1.000 0.000 1.000 0.000 1.000 0.000 1.000 0.000
Han_FYHD   0.864 0.136 0.913 0.087 0.714 0.286 0.665 0.335 0.951 0.049
Aust_Eur_1 0.843 0.157 0.893 0.107 0.748 0.252 0.699 0.301 0.797 0.203
NE_Thai    0.883 0.117 0.914 0.086 0.708 0.292 0.708 0.292 0.982 0.018
Mongolian  0.622 0.378 0.780 0.220 0.707 0.293 0.780 0.220 0.902 0.098
SE_Bantu   0.970 0.030 0.900 0.100 0.930 0.070 0.940 0.060 0.910 0.090
Sekele_San 0.900 0.100 0.970 0.034 0.951 0.049 0.967 0.033 0.918 0.082
Kung_San   0.964 0.036 0.762 0.238 0.893 0.107 0.927 0.073 0.940 0.060
Hunan_Han  0.837 0.163 0.915 0.085 0.697 0.303 0.565 0.435 0.978 0.022
In_Mon_Han 0.750 0.250 0.870 0.130 0.712 0.288 0.611 0.389 0.952 0.048
In_Mon_Mon 0.724 0.276 0.845 0.155 0.741 0.259 0.632 0.368 0.971 0.029
Guangd_Han 0.878 0.122 0.921 0.079 0.720 0.280 0.612 0.388 0.981 0.019
Aust_Eur_2 0.861 0.139 0.864 0.136 0.647 0.353 0.746 0.254 0.821 0.179
Japanese_2 0.820 0.180 0.830 0.170 0.613 0.387 0.680 0.320 0.923 0.077
Afr_Am     0.851 0.149 0.872 0.128 0.835 0.165 0.787 0.213 0.840 0.160
Vala_Spain 0.827 0.173 0.772 0.228 0.769 0.231 0.811 0.189 0.731 0.269
Guipuz_Bas 0.788 0.212 0.750 0.250 0.741 0.259 0.686 0.314 0.735 0.265
Navarr_Bas 0.775 0.225 0.761 0.239 0.794 0.206 0.644 0.356 0.670 0.330
Ju_Am_Arg  0.444 0.556 0.699 0.301 0.773 0.227 0.662 0.338 0.981 0.019
Chi_Ma_Han 0.830 0.170 0.960 0.040 0.700 0.300 0.440 0.560 0.970 0.030
Brit_Ea_Mi 0.729 0.271 0.762 0.238 0.672 0.328 0.692 0.308 0.787 0.213
Pun_Jat_Si 0.792 0.208 0.856 0.144 0.652 0.348 0.818 0.182 0.796 0.204
Guj_Patels 0.793 0.207 0.809 0.191 0.691 0.309 0.863 0.137 0.833 0.167
Arab_UAE   0.889 0.111 0.942 0.058 0.737 0.263 0.668 0.332 0.700 0.300
Bulang_bp  0.941 0.059 0.892 0.108 0.445 0.555 0.867 0.133 0.933 0.067
Wa_bp      0.890 0.110 0.936 0.064 0.958 0.042 0.940 0.060 1.000 0.000
Hani_dq    0.823 0.177 0.847 0.153 0.800 0.200 0.770 0.230 0.980 0.020
Jinuo_dq   0.894 0.106 0.981 0.019 0.940 0.060 0.727 0.273 0.972 0.028
Dai_by     0.919 0.081 0.919 0.081 0.871 0.129 0.577 0.423 0.960 0.040
Maonan_by  0.819 0.181 0.972 0.028 0.852 0.148 0.704 0.296 1.000 0.000
